arm,level,replicate,n,calls_per_rank_min,calls_per_rank_median,calls_per_rank_max,eps_sched,n_distinct_eps,eps_k,w1_sched,ess_sched,w1_rereport,ess_rereport,archive_w1
twin_fine,1.5,3,672,14.0,14.0,14.0,5.0,1.0,0.0969503718594653,2.150798902545297,312.2261076070269,0.03539957621434162,168.69938878087947,0.014419032417901764
twin_fine,1.5,4,672,14.0,14.0,14.0,5.0,1.0,0.1100711039241911,2.235029601548,326.7369704727062,0.04233631365716267,169.7279178177697,0.015495568798744516
twin_fine,2.0,0,480,10.0,10.0,10.0,5.0,1.0,0.2719627926797899,2.2139845098088315,312.7080553983597,0.17079373281798593,169.43609188689464,0.09666155027546822
twin_fine,2.0,1,480,10.0,10.0,10.0,5.0,1.0,0.3317853282725906,2.350164681499141,327.58329644288517,0.21778729270023756,173.17353906487085,0.11202653856773975
twin_fine,2.0,2,480,10.0,10.0,10.0,5.0,1.0,0.329072059066559,2.3417723849796164,329.04466807573306,0.2028581455017699,170.0922523977571,0.10565124550348842
twin_fine,2.0,3,480,10.0,10.0,10.0,5.0,1.0,0.2442662019537893,2.1547926885652346,285.39248376012665,0.1313075206141858,167.6094409290258,0.044959015946344875
twin_fine,2.0,4,480,10.0,10.0,10.0,5.0,1.0,0.3234926716988791,2.2791624347902513,308.1587267386336,0.2044344744497601,185.61453237876015,0.09179630990235774
twin_coarse,0.0,0,21120,440.0,440.0,440.0,0.4570726840614977,5.0,0.0009250707576429,0.23275528203165838,1495.262948692118,0.008519940927683291,134.51855771993968,0.019603901975073987
twin_coarse,0.0,1,21120,440.0,440.0,440.0,0.3125,5.0,0.0009104686511946,0.15986203049150804,2232.9651836319313,0.010404818739292759,156.47323220977322,0.023986038442504295
twin_coarse,0.0,2,21120,440.0,440.0,440.0,0.3125,5.0,0.0012481542638297,0.14752363026683962,3241.3801707441366,0.01161212421492821,180.94864014493857,0.01876324322035269
twin_coarse,0.0,3,21120,440.0,440.0,440.0,0.4674077536222532,5.0,0.0009613385177658,0.22639434526751892,1683.6758460186718,0.02755548781988371,148.86710071888845,0.02435757375323161
twin_coarse,0.0,4,21120,440.0,440.0,440.0,0.4419693571869227,5.0,0.0010370398156641,0.2188909978431322,1912.4919538982367,0.01442534295090042,160.52407025085418,0.00913315429438461
twin_coarse,0.5,0,6912,144.0,144.0,144.0,0.6610556941203546,5.0,0.0030897208649311,0.46205617669928206,665.6149891298829,0.012126461995307472,142.02847159873775,0.01781170064209096
twin_coarse,0.5,1,6912,144.0,144.0,144.0,0.3125,5.0,0.0025829928686221,0.1892016533744082,1319.126710650315,0.01886967632324099,142.47639804506522,0.019401963253422888
twin_coarse,0.5,2,6912,144.0,144.0,144.0,0.625,4.0,0.0030325044840543,0.4299906296677688,618.6057746049005,0.0159883120300278,160.57758694312992,0.026451733491693788
twin_coarse,0.5,3,6912,144.0,144.0,144.0,0.3125,5.0,0.0027151846961751,0.20189353390431525,1164.5709858518387,0.014453189556332735,104.0600026932327,0.024668154422103395
twin_coarse,0.5,4,6912,144.0,144.0,144.0,0.4321967678046319,5.0,0.0027553437182715,0.29058798265833463,749.0945519661569,0.0119393686053281,137.31374159022562,0.019045304575273606
twin_coarse,1.0,0,2112,44.0,44.0,44.0,5.0,1.0,0.0134545539217322,2.1621881783972396,350.5481314121837,0.013343734597630117,172.5318492675103,0.015736105233620575
twin_coarse,1.0,1,2112,44.0,44.0,44.0,5.0,1.0,0.0139365507341804,2.2350874052575547,348.7592874753378,0.018469087106607038,154.59781551194055,0.018265919416042373
twin_coarse,1.0,2,2112,44.0,44.0,44.0,5.0,1.0,0.0117508605730304,2.2155391234704966,350.614126651261,0.008856111276880331,166.20255739700607,0.01923309348021533
twin_coarse,1.0,3,2112,44.0,44.0,44.0,5.0,1.0,0.0136168461196965,2.11934232987089,305.553425512714,0.009384531808708328,158.55538814328784,0.02018550425816842
twin_coarse,1.0,4,2112,44.0,44.0,44.0,5.0,1.0,0.0152831665464055,2.1899593794402947,321.2819710378108,0.007751846253081594,189.05772458068782,0.010310161128523747
twin_coarse,1.5,0,672,14.0,14.0,14.0,5.0,1.0,0.1476805143265636,2.278741961999505,318.7573742728997,0.08351336001366791,190.19256804080266,0.037662600052297324
twin_coarse,1.5,1,672,14.0,14.0,14.0,5.0,1.0,0.1155175779739873,2.3380553929527657,329.79642549937665,0.056001381372403694,178.96569560110913,0.02882027891241656
twin_coarse,1.5,2,672,14.0,14.0,14.0,5.0,1.0,0.1179126597094016,2.2751720558422326,329.7640373386568,0.04768672583133779,185.22941428412528,0.01089730814919885
twin_coarse,1.5,3,672,14.0,14.0,14.0,5.0,1.0,0.0951025222204986,2.1756156149026404,285.0191264897946,0.03837480434574542,180.63990038277754,0.016780077677997086
twin_coarse,1.5,4,672,14.0,14.0,14.0,5.0,1.0,0.097118980540668,2.318660071032184,311.35998160282975,0.039526843186079935,174.07346368001532,0.022443108675648596
twin_coarse,2.0,0,480,10.0,10.0,10.0,5.0,1.0,0.3961282106404455,2.31503196477087,313.47895521051345,0.28811360084752863,195.68441466623176,0.13835806049903396
twin_coarse,2.0,1,480,10.0,10.0,10.0,5.0,1.0,0.4120731120347256,2.4173811497868396,328.22851212623436,0.28024910532486663,190.6127857197586,0.12917626319707257
twin_coarse,2.0,2,480,10.0,10.0,10.0,5.0,1.0,0.3468302573398654,2.348733662356654,322.8544069980112,0.20145120220232515,180.1743143423349,0.07407327753386618
twin_coarse,2.0,3,480,10.0,10.0,10.0,5.0,1.0,0.2368320695296856,2.168851206292903,273.5689864835338,0.13942451314855,168.7843734564974,0.06471841855207142
twin_coarse,2.0,4,480,10.0,10.0,10.0,5.0,1.0,0.3150709991942115,2.337261025847132,308.44411245053465,0.1983557262867537,172.13509378523514,0.10597009741295117
async,0.0,0,2832,59.0,59.0,59.0,5.0,1.0,0.0084595427533695,2.110839258561671,352.3315516972118,0.009576204801302297,152.1732481548915,0.012694908737991496
async,0.0,1,2832,59.0,59.0,59.0,5.0,1.0,0.0080951606098599,2.121907091058119,350.5259580136027,0.01079148545232687,171.1377275734302,0.022994018679403823
async,0.0,2,2832,59.0,59.0,59.0,5.0,1.0,0.0077150287205889,2.137957719154669,340.4949529060227,0.011339682591751873,151.3861577186851,0.017921963710915857
async,0.0,3,2832,59.0,59.0,59.0,5.0,1.0,0.0095025907656313,2.044882965670817,333.70612078329447,0.010221214240003051,180.93553842028382,0.019894902500436018
async,0.0,4,2832,59.0,59.0,59.0,5.0,1.0,0.0080206037518346,2.1174087291498793,339.7860274607089,0.01114643414535818,144.26665988620277,0.015264181221254818
async,0.5,0,2527,48.0,53.0,60.0,2.757081296383737,2.0,0.0106674570267033,1.77815387781639,422.7535688625371,0.010868842332899495,178.30624729825902,0.02314751316118035
async,0.5,1,2509,42.0,52.0,64.0,5.0,1.0,0.0095940525581737,2.2404757123610324,367.2131102211948,0.010896389036243194,163.1995088912107,0.015238720988225112
async,0.5,2,2509,45.0,52.0,59.0,5.0,1.0,0.009104909109943,2.1570113538373556,356.0111802932761,0.013215820519395433,168.62479253587324,0.017444550018826537
async,0.5,3,2547,42.0,53.0,60.0,5.0,1.0,0.0099616834426338,2.0350956746778515,335.02923727961934,0.011002927867908767,186.33037389689315,0.03054125991384675
async,0.5,4,2582,41.0,54.0,62.0,2.9886502746241628,2.0,0.012351169348302,1.890492373051324,425.01206051299414,0.006412929920666092,171.84132548349706,0.013393738847033126
async,1.0,0,1759,20.0,38.0,51.0,1.025413660700424,5.0,0.0164901315985041,0.7276617700834171,518.5989281421612,0.0063795267667992265,163.74468654820984,0.013328932579705176
async,1.0,1,1707,17.0,37.5,52.0,0.9090387268606464,4.0,0.0169991741610355,0.6625589830167207,516.054662617425,0.00842077968867659,155.99600056584768,0.014824770838786392
async,1.0,2,1731,18.0,36.0,54.0,0.920539715111344,4.0,0.0167304441213402,0.6771038248159623,498.845697266037,0.02047808199579933,168.85883993656842,0.02563376483183052
async,1.0,3,1752,13.0,37.0,57.0,1.3612826491855576,4.0,0.0157199396132639,1.0061542890693904,451.6285362093148,0.009460662969756272,152.50807780915034,0.017402198201590686
async,1.0,4,1679,22.0,33.5,53.0,0.7207935152634994,4.0,0.018303843669923,0.4920898159444187,544.9290369563803,0.013107836072988214,159.03526438261838,0.015476789418440905
async,1.5,0,1095,5.0,23.0,51.0,1.344280938897441,3.0,0.0375843036252294,1.0236355354942681,459.75578206028365,0.013247872838469406,165.22397186058473,0.01277865206366796
async,1.5,1,1055,2.0,20.0,45.0,0.8802842356345821,4.0,0.0367930755057515,0.6348584545945772,433.62661926109917,0.012438403420922069,166.6386679458682,0.013710399335038584
async,1.5,2,950,1.0,19.0,38.0,1.4907099506104178,4.0,0.0372341888204954,1.1131361274132183,418.1725477307367,0.0143093598316281,150.71453210388663,0.014208430071795706
async,1.5,3,1001,3.0,21.0,38.0,1.25,3.0,0.0424136847706237,0.934830633884534,484.02366074336186,0.026071502550127815,161.47464737418173,0.021316626083403515
async,1.5,4,1096,6.0,22.5,41.0,0.8300554103417908,4.0,0.0409787522791914,0.6216870284027385,531.0494756857827,0.012409200834699293,172.61528137828938,0.014555509223729609
async,2.0,0,647,1.0,13.0,31.0,0.7611522552542777,4.0,0.1568061067549794,0.5606757635695362,436.02871491249357,0.09182368532524643,201.62167886177676,0.038777811324227064
async,2.0,1,674,2.0,12.0,30.0,1.25,4.0,0.1005092660008137,0.9826645945573795,408.8392102663031,0.048406613391965614,167.17325474012458,0.02044543232927755
async,2.0,2,684,1.0,13.0,36.0,0.7417504944610531,5.0,0.1070759908788161,0.5390771190469419,422.23786273773334,0.03772854218532684,183.66273813612085,0.01314657848642876
async,2.0,3,696,1.0,14.0,45.0,0.782708023263489,4.0,0.1075355434877558,0.5584481939969423,445.43013181609984,0.041899175154960125,174.10170262603788,0.016281427921742548
async,2.0,4,705,3.0,13.0,34.0,0.7767427758055216,4.0,0.080815443345787,0.593904119583553,424.852789051087,0.025766496237424424,163.08955575164657,0.01851372616109203
pyabc,0.0,0,100,,,,,,,0.5441118593876794,,,,
pyabc,0.0,1,100,,,,,,,0.2104205133865566,,,,
pyabc,0.0,2,100,,,,,,,0.5338248491366933,,,,
pyabc,0.0,3,100,,,,,,,0.5294066821464789,,,,
pyabc,0.0,4,100,,,,,,,0.39143893014684594,,,,
pyabc,0.5,0,100,,,,,,,0.8677886294724666,,,,
pyabc,0.5,1,100,,,,,,,0.6216979380048556,,,,
pyabc,0.5,2,100,,,,,,,0.406000058972207,,,,
pyabc,0.5,3,100,,,,,,,0.4488772953718164,,,,
pyabc,0.5,4,100,,,,,,,0.6092873920203141,,,,
pyabc,1.0,0,100,,,,,,,1.0977585852667042,,,,
pyabc,1.0,1,100,,,,,,,1.1925837028542365,,,,
pyabc,1.0,2,100,,,,,,,1.5774313709121508,,,,
pyabc,1.0,3,100,,,,,,,1.426056441354194,,,,
pyabc,1.0,4,100,,,,,,,1.3553693651602021,,,,
pyabc,1.5,0,100,,,,,,,2.2317554111893623,,,,
pyabc,1.5,1,100,,,,,,,2.3258715217870165,,,,
pyabc,1.5,2,100,,,,,,,1.4792412539383326,,,,
pyabc,1.5,3,0,,,,,,,,,,,
pyabc,1.5,4,100,,,,,,,2.1533843332771263,,,,
pyabc,2.0,0,0,,,,,,,,,,,
pyabc,2.0,1,0,,,,,,,,,,,
pyabc,2.0,2,100,,,,,,,2.20675332803416,,,,
pyabc,2.0,3,0,,,,,,,,,,,
pyabc,2.0,4,0,,,,,,,,,,,
